# Fair PLS Comparison Data - 10mM
# Generated: 2025-08-28 19:38:23
# Concentration: 10mM
# Total samples: 142
# Palmsens samples: 100
# STM32 samples: 42
# Device codes: 0=Palmsens, 1=STM32
# Detector: Enhanced V4 Improved
#
device,device_code,concentration,ox_voltage,ox_current,red_voltage,red_current,peak_separation,file_path
Palmsens,0,10mM,-0.029723104,-225.221,0.290525,212.764,0.320248104,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_09.csv
Palmsens,0,10mM,-0.029723104,-225.719,0.290525,213.309,0.320248104,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_10.csv
Palmsens,0,10mM,-0.029723104,-226.273,0.290525,213.844,0.320248104,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E4_scan_11.csv
Palmsens,0,10mM,-0.019715326,-260.408,0.260502,257.374,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_02.csv
Palmsens,0,10mM,-0.019715326,-262.209,0.260502,257.279,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_03.csv
Palmsens,0,10mM,-0.019715326,-263.062,0.260502,257.659,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_04.csv
Palmsens,0,10mM,-0.019715326,-263.726,0.260502,258.227,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_05.csv
Palmsens,0,10mM,-0.019715326,-263.82,0.260502,258.701,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_06.csv
Palmsens,0,10mM,-0.019715326,-264.389,0.260502,259.175,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_07.csv
Palmsens,0,10mM,-0.019715326,-264.579,0.260502,259.46,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_08.csv
Palmsens,0,10mM,-0.019715326,-264.958,0.260502,259.744,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_09.csv
Palmsens,0,10mM,-0.019715326,-265.147,0.260502,260.123,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_10.csv
Palmsens,0,10mM,-0.019715326,-265.147,0.260502,260.123,0.280217326,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E5_scan_11.csv
Palmsens,0,10mM,0.010308012,-265.242,0.27051,254.72,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_02.csv
Palmsens,0,10mM,0.010308012,-266.095,0.27051,254.909,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_03.csv
Palmsens,0,10mM,0.010308012,-266.854,0.27051,255.099,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_04.csv
Palmsens,0,10mM,0.010308012,-267.233,0.27051,255.857,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_05.csv
Palmsens,0,10mM,0.010308012,-268.276,0.27051,255.952,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_06.csv
Palmsens,0,10mM,0.010308012,-268.56,0.27051,256.426,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_07.csv
Palmsens,0,10mM,0.010308012,-268.56,0.27051,256.9,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_08.csv
Palmsens,0,10mM,0.010308012,-268.56,0.27051,257.469,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_09.csv
Palmsens,0,10mM,0.010308012,-268.56,0.27051,256.995,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_10.csv
Palmsens,0,10mM,0.010308012,-268.75,0.27051,257.564,0.260201988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E1_scan_11.csv
Palmsens,0,10mM,-0.049738664,-233.469,0.290525,219.669,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_02.csv
Palmsens,0,10mM,-0.049738664,-234.465,0.290525,219.725,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_03.csv
Palmsens,0,10mM,-0.049738664,-235.32,0.290525,220.064,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_04.csv
Palmsens,0,10mM,-0.049738664,-235.63,0.290525,220.543,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_05.csv
Palmsens,0,10mM,-0.049738664,-236.429,0.290525,220.89,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_06.csv
Palmsens,0,10mM,-0.049738664,-236.71,0.290525,221.501,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_07.csv
Palmsens,0,10mM,-0.049738664,-236.748,0.290525,221.755,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_08.csv
Palmsens,0,10mM,-0.049738664,-236.692,0.290525,222.224,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_09.csv
Palmsens,0,10mM,-0.049738664,-236.673,0.290525,221.989,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_10.csv
Palmsens,0,10mM,-0.049738664,-236.992,0.290525,222.478,0.34026366399999997,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E2_scan_11.csv
Palmsens,0,10mM,0.010308012,-257.753,0.290525,247.664,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_02.csv
Palmsens,0,10mM,0.010308012,-258.512,0.290525,247.655,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_03.csv
Palmsens,0,10mM,0.010308012,-258.512,0.290525,247.956,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_04.csv
Palmsens,0,10mM,0.010308012,-259.175,0.290525,248.369,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_05.csv
Palmsens,0,10mM,0.010308012,-259.649,0.290525,248.651,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_06.csv
Palmsens,0,10mM,0.010308012,-260.313,0.290525,249.177,0.280216988,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_07.csv
Palmsens,0,10mM,0.000300233,-261.166,0.290525,248.179,0.290224767,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_08.csv
Palmsens,0,10mM,0.000300233,-261.45,0.290525,248.653,0.290224767,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_09.csv
Palmsens,0,10mM,0.000300233,-261.45,0.290525,248.368,0.290224767,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_10.csv
Palmsens,0,10mM,0.000300233,-261.735,0.290525,248.748,0.290224767,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E3_scan_11.csv
Palmsens,0,10mM,-0.069754224,-305.247,0.330556,295.672,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_02.csv
Palmsens,0,10mM,-0.069754224,-306.479,0.330556,294.819,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_03.csv
Palmsens,0,10mM,-0.069754224,-306.574,0.330556,294.629,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_04.csv
Palmsens,0,10mM,-0.069754224,-307.332,0.330556,294.629,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_05.csv
Palmsens,0,10mM,-0.069754224,-307.996,0.330556,294.819,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_06.csv
Palmsens,0,10mM,-0.069754224,-308.185,0.330556,295.577,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_07.csv
Palmsens,0,10mM,-0.069754224,-308.47,0.330556,295.293,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_08.csv
Palmsens,0,10mM,-0.069754224,-308.754,0.330556,295.767,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_09.csv
Palmsens,0,10mM,-0.069754224,-308.754,0.330556,295.388,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_10.csv
Palmsens,0,10mM,-0.069754224,-308.375,0.330556,295.767,0.40031022400000005,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E4_scan_11.csv
Palmsens,0,10mM,-0.05974644,-366.296,0.300533,363.642,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_02.csv
Palmsens,0,10mM,-0.05974644,-367.339,0.300533,363.263,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_03.csv
Palmsens,0,10mM,-0.05974644,-368.761,0.300533,362.694,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_04.csv
Palmsens,0,10mM,-0.05974644,-369.425,0.300533,363.168,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_05.csv
Palmsens,0,10mM,-0.05974644,-370.372,0.300533,363.263,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_06.csv
Palmsens,0,10mM,-0.05974644,-371.036,0.300533,363.831,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_07.csv
Palmsens,0,10mM,-0.05974644,-371.889,0.300533,364.495,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_08.csv
Palmsens,0,10mM,-0.05974644,-372.553,0.300533,364.969,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_09.csv
Palmsens,0,10mM,-0.05974644,-373.311,0.300533,365.253,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_10.csv
Palmsens,0,10mM,-0.05974644,-373.975,0.300533,366.296,0.36027944,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_200mVpS_E5_scan_11.csv
STM32,1,10mM,-0.0212,-287.28,0.2577,277.45,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_02.csv
STM32,1,10mM,-0.0212,-289.48,0.2577,275.37,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_03.csv
STM32,1,10mM,-0.0212,-290.42,0.2577,274.95,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_04.csv
STM32,1,10mM,-0.0212,-289.66,0.2577,275.06,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_05.csv
STM32,1,10mM,-0.0212,-291.05,0.2479,274.65,0.2691,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_06.csv
STM32,1,10mM,-0.0212,-290.67999999999995,0.2479,274.5,0.2691,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_07.csv
STM32,1,10mM,-0.0212,-290.98999999999995,0.2479,275.54,0.2691,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_08.csv
STM32,1,10mM,-0.0212,-292.87,0.2577,275.82000000000005,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_09.csv
STM32,1,10mM,-0.0212,-292.31,0.2577,275.97,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_10.csv
STM32,1,10mM,-0.0212,-293.37,0.2577,276.83,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_100mVpS_E1_scan_11.csv
STM32,1,10mM,-0.0511,-381.95,0.2979,396.31,0.349,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_02.csv
STM32,1,10mM,-0.0614,-390.18,0.2979,387.88,0.3593,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_03.csv
STM32,1,10mM,-0.0614,-395.09,0.2881,386.0700000000001,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_04.csv
STM32,1,10mM,-0.0614,-397.37,0.2881,384.43,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_05.csv
STM32,1,10mM,-0.0614,-400.11,0.2881,385.96,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_06.csv
STM32,1,10mM,-0.0614,-400.97,0.2881,385.32,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_07.csv
STM32,1,10mM,-0.0614,-402.12,0.2881,385.9,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_08.csv
STM32,1,10mM,-0.0614,-402.22,0.2881,386.5,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_09.csv
STM32,1,10mM,-0.0614,-403.71,0.2881,386.52,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_10.csv
STM32,1,10mM,-0.0614,-403.52,0.2881,387.57,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_200mVpS_E1_scan_11.csv
STM32,1,10mM,0.0482,-125.71,0.198,101.87,0.14980000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_02.csv
STM32,1,10mM,0.0482,-125.57,0.198,104.17,0.14980000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_03.csv
STM32,1,10mM,0.0482,-126.36,0.198,104.35,0.14980000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_04.csv
STM32,1,10mM,0.0384,-127.3,0.198,105.89,0.15960000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_05.csv
STM32,1,10mM,0.0384,-130.02,0.198,104.43,0.15960000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_06.csv
STM32,1,10mM,0.0384,-127.41,0.198,105.45,0.15960000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_07.csv
STM32,1,10mM,0.0384,-127.66,0.198,105.39,0.15960000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_08.csv
STM32,1,10mM,0.0384,-129.8,0.198,105.96,0.15960000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_09.csv
STM32,1,10mM,0.0384,-128.17,0.198,108.23,0.15960000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_10.csv
STM32,1,10mM,0.0384,-129.11,0.198,110.69,0.15960000000000002,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_20mVpS_E1_scan_11.csv
STM32,1,10mM,0.0086,-197.44,0.2278,185.79,0.2192,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_02.csv
STM32,1,10mM,0.0086,-199.81,0.2181,184.72,0.2095,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_03.csv
STM32,1,10mM,0.0086,-200.7,0.2181,184.63,0.2095,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_04.csv
STM32,1,10mM,0.0086,-202.76,0.2181,185.05,0.2095,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_05.csv
STM32,1,10mM,0.0086,-203.87,0.2181,185.09,0.2095,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_06.csv
STM32,1,10mM,0.0086,-204.97,0.2278,185.11,0.2192,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_07.csv
STM32,1,10mM,0.0086,-207.27,0.2181,186.94,0.2095,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_08.csv
STM32,1,10mM,0.0086,-207.12,0.2181,188.48,0.2095,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_09.csv
STM32,1,10mM,0.0086,-207.67,0.2278,189.54,0.2192,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_10.csv
STM32,1,10mM,0.0086,-208.23,0.2278,190.5,0.2192,Test_data/Stm32/Pipot_10mM/Pipot_Ferro-10mM_50mVpS_E1_scan_11.csv
STM32,1,10mM,-0.0212,-289.66,0.2577,275.06,0.2789,Test_data/Stm32/Pipot_10mM/Pipot_Ferro_10mM_100mVpS_E1_scan_05.csv
STM32,1,10mM,-0.0614,-397.37,0.2881,384.43,0.34950000000000003,Test_data/Stm32/Pipot_10mM/Pipot_Ferro_10mM_200mVpS_E1_scan_05.csv
